Formula,Space Group,Band Gap,a,b,c,a=b
C,P4/mmm,0,1.6329,1.6329,"20.0,""",TRUE
B,P6/mmm,0,1.7069,1.7069,"20.0,""",TRUE
B,P4/mmm,0,1.7563,1.7563,"20.0,""",TRUE
O2,P4/mmm,0,1.799,1.799,"20.0,""",TRUE
F2,P4/mmm,0,1.9779,1.9779,"20.0,""",TRUE
N2,Pmna,0,2.1622,4.9734,22.12,FALSE
BeC2,P-3m1,0,2.1664,2.1664,24.664,TRUE
N2,Pmna,0,2.1779,3.2717,22.423,FALSE
N2O3,Pmma,0,2.1785,16.248,24.608,FALSE
N2,P2_1/m,0,2.1814,3.2419,23.344,FALSE
N2O3,Pmmn,2.7509,2.2523,13.316,21.157,FALSE
B2O,P3m1,0,2.2765,2.2765,23.02,TRUE
N2,P-3m1,3.811,2.2935,2.2934,21.522,TRUE
P,P4/mmm,0,2.3073,2.3073,"20.0,""",TRUE
CN2,Pmc2_1,0,2.31,5.7742,25.607,FALSE
B4O3,P2_1/m,0,2.3413,7.4583,29.614,FALSE
ScBe5,P1,0,2.3428,4.2072,25.973,FALSE
C3N,Pmmm,0,2.3539,4.7366,20,FALSE
CN,C2/m,0,2.3602,7.8451,25.274,FALSE
CN,P-1,0,2.3602,7.9936,25.454,FALSE
LiBe,P2_1/m,0,2.3629,2.1582,26.09,FALSE
S,P4/mmm,0,2.372,4.7649,19.985,FALSE
Be2Zn,P4/mmm,0,2.3805,2.3805,23.983,TRUE
NO2,Pm,0,2.3932,6.2255,30.971,FALSE
CuO2,Pmmm,0,2.4032,6.5393,20,FALSE
Ni,P-3m1,0,2.4091,4.1747,22.024,FALSE
AgP2,P2/m,0,2.4105,6.682,20.816,FALSE
B2O3,Cm,4.1863,2.4126,5.0831,23.091,FALSE
Si,P4/mmm,0,2.425,2.425,"20.0,""",TRUE
BeSi2,C2/m,0,2.4256,5.3461,23.148,FALSE
Be3Ge,Pmm2,0,2.4263,3.6123,22.353,FALSE
B2O3,P-3m1,3.9055,2.4395,2.4395,24.629,TRUE
B2O3,P-3m1,3.4413,2.4412,2.4412,29.498,TRUE
NaBe,P2_1/m,0,2.4475,2.831,26.114,FALSE
C3N4,P1,0,2.4579,2.4451,28.159,FALSE
C,P6/mmm,1.00E-04,2.4649,2.4649,19.996,TRUE
B2O3,Pmc2_1,3.3407,2.4725,4.2369,25.735,FALSE
PdC4,P6/mmm,0,2.5005,4.3253,22.903,FALSE
HC3,P-3m1,0,2.5068,2.5068,30.11,TRUE
BN,P-6m2,4.6628,2.5089,2.5089,20,TRUE
BeO2,P4/mmm,1.5217,2.5134,2.5134,21.519,TRUE
TmBe5,Cm,0,2.5227,4.2611,26.03,FALSE
Ni2B,P-6m2,0,2.5244,2.5244,22.78,TRUE
Feb-02,P4/mmm,0,2.5295,2.5295,22.704,TRUE
YBe5,P1,0,2.5334,4.2938,25.924,FALSE
HC,P-3m1,3.4891,2.5368,2.5368,22.681,TRUE
CoC2,C2/m,0,2.5391,3.4502,24.321,FALSE
CSe,Pmma,0,2.547,6.986,24.071,FALSE
Zn,P6/mmm,0,2.5552,2.5552,20.021,TRUE
Fe2B3,P4/mmm,0,2.5604,2.5604,25.544,TRUE
PO2,Pmc2_1,2.7644,2.5638,9.0749,30.972,FALSE
AuO2,Pmmm,0,2.5645,7.5755,20,FALSE
FeSi2,P4/mmm,0,2.5692,2.5692,22.803,TRUE
Be2Co,P4/mmm,0,2.5734,2.5734,22.883,TRUE
Ge,P4/mmm,0,2.5766,2.5766,"20.0,""",TRUE
SO2,Pmmn,0,2.5879,3.0914,24.161,FALSE
As,P4/mmm,0,2.5933,2.5933,"20.0,""",TRUE
S3N2,P2_1/m,0,2.598,9.7957,26.32,FALSE
BeF2,P-3m1,9.4494,2.6003,2.6003,23.529,TRUE
NiP2,P4/mmm,0,2.6022,2.6022,23.53,TRUE
AgO2,Pmmm,0,2.6078,7.1192,20,FALSE
Ga,P4/mmm,0,2.6214,2.6214,"20.0,""",TRUE
Cl2,P4/mmm,0,2.631,2.631,"20.0,""",TRUE
P4F,P-1,0,2.6339,8.2672,34.689,FALSE
BeSi2,P-3m1,0,2.6383,2.6383,24.445,TRUE
P2O3,Pmmn,3.6102,2.6383,13.525,21.157,FALSE
FeHO2,Pmn2_1,1.0621,2.6385,4.0033,25.853,FALSE
Be2N,P-3m1,0,2.6431,2.6431,23.013,TRUE
S3N2,P2_1/m,0,2.6434,10.219,25.156,FALSE
AlNi2,P-6m2,0,2.6481,2.6481,22.78,TRUE
CrN,I4/mmm,0,2.6508,2.6508,23.77,TRUE
Se,P4/mmm,0,2.654,5.2837,19.985,FALSE
CoO2,Pmmm,0,2.6552,3.3406,22.4,FALSE
Ni3S4,P2/m,0,2.6589,7.0208,25.161,FALSE
Be2Cd,P4/mmm,0,2.6665,2.6665,23.983,TRUE
Al,P4/mmm,0,2.6676,2.6676,"20.0,""",TRUE
UC2,P-1,0,2.6679,3.9965,26.177,FALSE
Ga,Pmma,0,2.6714,2.6623,22.343,FALSE
