Formula,No. of Elements,Discovery Process,Space Group,Point Group,Crystal System,Band Gap,Is Gap Direct?,a,b,c
IrF2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.5192791400000005,3.519279719818097,22.858091
Ba2Sb,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,4.953362,4.953361717554049,22.747784
TlS,2,bottom-up,P-1,-1,triclinic,0.9814000000000003,False,4.008652948077889,12.402249826645358,25.602778862291558
MoCl2,2,bottom-up,R-3m,2/m,trigonal,0.0,False,3.166735,5.4819182815347585,21.43941941646828
IrO2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.155589,3.155588543970205,21.887078
RuI2,2,bottom-up,P-3m1,-3m,trigonal,1.1619,False,3.996016,3.9960151796320793,22.810979
TcTe2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.567633,3.56763428110744,22.641327
TcSe2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.20224328,3.2022431652951027,22.641327
AuBr,2,bottom-up,P3m1,3m,trigonal,0.1498999999999997,True,4.478867,4.478867594529336,20.19552
SiBr4,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.20860000000000056,False,5.140671,5.140671,23.993582
SrO2,2,bottom-up,P4/mmm,4/mmm,tetragonal,2.9398,False,3.467017,3.467017,21.519401
TaCl4,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,4.881557,4.881557,23.812503
SnCl4,2,bottom-up,P4/mmm,4/mmm,tetragonal,1.2989999999999995,False,5.14005,5.14005,23.993582
Ti3Se2,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.37425238,3.37425238,26.086724
MoF2,2,bottom-up,C2/m,2/m,monoclinic,2.6526000000000005,True,3.41110865,3.9551632191891906,22.980968084198807
IrS2,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.554483,3.5544836177837418,22.656793
HfBr2,2,bottom-up,P2_1/m,2/m,monoclinic,0.8580999999999999,False,3.419915,6.372173847587651,24.428381094400546
AuSe,2,bottom-up,Pmmn,mmm,orthorhombic,0.0,False,2.873397,3.788443,23.889425
HfCl2,2,bottom-up,P2_1/m,2/m,monoclinic,0.8628000000000002,False,3.25407028,6.096141634430418,24.428255309514064
Al2S5,2,bottom-up,P1,1,triclinic,2.2099,True,3.730263987289461,7.233908233468774,24.091016521806498
TaI3,2,bottom-up,P-31m,-3m,trigonal,0.0,False,6.68636238,6.686361772644805,22.719179
Li2O,2,bottom-up,P-3m1,-3m,trigonal,1.9866,True,5.415015449845165,5.4149602936556835,22.643578009397192
TlSb,2,bottom-up,P4/nmm,4/mmm,tetragonal,0.0,False,4.7516789,4.7516789,23.942319
CdBr2,2,bottom-up,P-4m2,-42m,tetragonal,3.0243,False,4.08782261,4.08782261,22.741369
VBr4,2,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,5.10268987,5.10268987,24.723608
AlSb3,2,bottom-up,P-3m1,-3m,trigonal,0.3897000000000004,True,8.50983856,8.509838762312857,21.198253
Al4O3,2,bottom-up,P2_1/m,2/m,monoclinic,0.0,False,2.82530873,7.02129395791503,27.755486451300534
Mo3S4,2,bottom-up,P-3m1,-3m,trigonal,0.0,False,3.18906761,3.1905378719229445,29.26839235061444
SBr,2,bottom-up,P-1,-1,triclinic,1.8022,False,4.208442560363264,9.180088659037008,25.81915785986868
Sb2C,2,bottom-up,Pmc2_1,mm2,orthorhombic,0.1622,False,3.67659337,10.14214785,25.607718
